No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
1420,質疑,3.6,1.02,5.6,0.8,227
1421,輝煌,7,0.632,6.2,0.748,78
1422,適宜,6.4,0.49,5,0.632,53
1423,適時,6.2,0.4,5,1.265,98
1424,適當,6.2,0.4,4.6,0.8,513
1425,遭受,3.6,0.8,5.8,0.748,92
1426,鋌而走險,3,0.894,7,0.632,8
1427,震怒,2.4,0.49,8.2,0.748,12
1428,震顫,3.2,0.748,7.4,0.8,0
1429,震驚,3.6,1.356,7.4,1.02,66
1430,霉運,2.8,0.4,5.4,1.356,0
1431,養育,6.2,0.748,4,1.673,37
1432,魄力,7,0,6.2,0.748,32
1433,魅力,7.2,0.4,5.6,1.855,174
1434,懊悔,3.4,0.49,6.4,0.49,12
1435,懊惱,3.2,0.748,7,0.894,29
1436,戰火,3,0.894,6.8,1.47,84
1437,戰爭,3,0.894,7.2,1.166,673
1438,戰鬥,3,0.894,7,0.894,62
1439,戰勝,7.4,1.02,7.4,1.02,35
1440,戰亂,3,0.894,7.2,0.748,35
1441,擁抱,6.4,0.49,5.6,1.02,88
1442,擁護,6.4,0.49,6,0.894,32
1443,擅長,6.2,0.748,5,1.549,78
1444,操心,3.8,0.4,5.6,1.356,26
1445,操守,5.2,0.4,3.8,1.47,19
1446,操勞,3.6,0.49,5.2,1.47,0
1447,擔保,5,0.632,4.8,1.6,28
1448,擔憂,3.6,0.49,4.8,1.166,64
1449,整齊,6.6,0.49,4.2,1.47,106
1450,整潔,6.8,0.4,4.2,1.47,59
1451,機敏,7,0.632,5.6,1.497,4
1452,機警,7,0.632,6.4,0.8,13
1453,機靈,7,0.632,6,1.265,9
1454,激怒,2.6,0.49,7.8,0.4,7
1455,激動,4.8,0.4,7.8,0.748,127
1456,激情,5.4,0.49,7.4,0.49,40
1457,激勵,7.2,0.4,6.8,0.4,95
1458,獨自,4.2,0.4,3.2,1.6,121
1459,獨創,6.2,0.748,4.2,1.939,14
1460,瘸,3.4,0.49,3.6,1.2,0
1461,積極,6.6,1.02,6.6,0.8,919
1462,罹難,1.8,0.748,7,1.414,23
1463,膩,3.6,0.8,4,1.265,19
1464,興旺,6.8,0.4,5.6,1.497,16
1465,興致,6.2,0.98,6,0.894,28
1466,興趣,6.6,1.02,5.4,0.8,855
1467,興奮,7.4,0.49,7.2,0.4,233
1468,融洽,7.4,0.49,5,2.098,36
1469,褫奪,2.6,0.8,7.4,0.49,4
1470,親,6.6,0.8,5.8,1.6,39
1471,親吻,7.2,0.4,7.4,1.356,16
1472,親和,7,0.632,4.4,1.625,7
1473,親密,7.6,0.49,6.2,1.327,90
1474,諷刺,3,0,6.8,0.4,71
1475,諾言,6.8,0.98,5.8,0.748,26
1476,謀殺,1.6,0.49,7.8,0.748,25
1477,踴躍,6.8,0.4,6.8,0.4,132
1478,蹂躪,2.2,0.4,7.6,0.49,20
1479,輸家,3,0.632,5,1.789,6
1480,輸掉,3.4,0.8,5.2,1.72,17
1481,遲到,3.8,0.4,5,0.632,42
1482,遲鈍,3.6,0.49,3.6,1.2,12
1483,遲疑,3.6,0.49,4.8,1.166,32
1484,遺棄,2.8,0.4,5.8,1.939,33
1485,遺憾,2.6,0.49,4.8,1.72,126
1486,錯,3,0.894,4.8,1.939,381
1487,錯亂,3,0.894,6.2,1.166,9
1488,錯誤,3.2,0.748,5.6,1.02,265
1489,頭昏,3.2,0.748,4.6,1.356,9
1490,默哀,2.2,0.748,4.2,2.315,0
1491,優,6.8,0.4,5.4,1.356,19
1492,優秀,7.6,0.49,6.6,1.356,237
1493,優良,7.6,1.02,6.2,1.6,154
1494,優柔寡斷,3.2,0.748,4.6,1.855,6
1495,優美,6.8,0.4,5.4,1.497,132
1496,優勝,7.6,0.49,6.8,0.98,25
1497,優惠,6.8,0.748,6.2,1.72,125
1498,優雅,6.8,0.4,5,1.414,80
1499,優勢,6.8,0.4,6,0.894,271
1500,優點,7,0.632,5,1.095,256
1501,嚇,3.6,0.49,6.8,0.748,146
1502,壓力,2.6,0.49,6.8,0.98,944
1503,壓抑,2.6,0.49,5.4,1.497,132
1504,壓制,3.6,0.8,6,0.894,69
1505,壓迫,2.8,0.748,7.2,1.166,140
1506,尷尬,3.8,0.4,4.6,0.8,75
1507,懦,3.2,0.4,4.2,0.98,0
1508,擊,4.8,0.4,6.6,1.497,35
1509,擊敗,6,1.414,6.8,1.166,90
1510,濫用,3,0.632,5.6,1.625,48
1511,濫情,3,0.632,6.2,1.166,14
1512,燦爛,6.6,1.02,6.4,1.356,75
1513,獲勝,7.8,0.748,7.2,1.327,69
1514,獲獎,7.8,0.748,7,1.414,34
1515,瞧不起,3.2,0.748,6.2,1.6,21
1516,糟,3.4,0.49,4.4,1.2,85
1517,糟糕,3.2,0.748,5.2,1.72,65
1518,糟蹋,2.4,0.49,7.2,1.72,12
1519,繁瑣,3.8,0.98,5,1.095,27
1520,繃緊,4.2,0.748,7.2,0.98,7
1521,聰明,7,0.632,4.8,2.315,248
1522,膽小,3.6,0.49,4.6,1.855,18
1523,膽怯,3.2,0.748,5.2,1.47,5
1524,膽量,5.4,0.8,4.6,1.96,22
1525,膽戰心驚,2.8,0.748,7.6,0.49,6
1526,艱困,3.2,0.748,6.6,0.8,18
1527,艱辛,3,0.894,6.4,0.49,51
1528,艱苦,3,0.632,6.6,0.49,69
1529,艱深,3.4,0.8,6.4,1.02,8
1530,艱鉅,3.2,1.166,7.2,0.748,21
1531,艱險,3,0.894,7.8,0.748,0
1532,艱澀,3.2,0.98,7.2,1.327,7
1533,艱難,3.2,0.98,7.2,0.748,69
1534,虧損,3.2,0.748,5.6,1.855,57
1535,褻瀆,2.4,1.02,7.6,1.02,4
1536,謝天謝地,7.4,0.49,7.4,0.8,7
1537,謝意,6.2,0.4,6,1.549,32
1538,醜,3.6,0.49,3.8,1.47,49
1539,鮮明,6.4,0.49,5.4,1.744,76
1540,鮮美,6.2,0.4,5.4,1.356,28
1541,嚮往,6,0.632,5,1.549,92
1542,簡潔,6.2,0.4,4.8,1.47,36
1543,謹慎,6.4,0.8,4.2,1.72,90
1544,蹧蹋,2.6,0.8,7.2,1.166,0
1545,鎮定,5.4,1.02,2.8,1.47,17
1546,鎮靜,5.4,1.02,1.8,0.748,12
1547,鎮壓,3,1.095,7,0.632,53
1548,雜亂,3.6,0.49,5.6,1.497,20
1549,鬆懈,3.6,0.49,4.2,1.47,10
1550,壞人,3.4,0.49,5.4,1.02,105
1551,壞心,3.4,0.49,6,0.894,5
1552,壞死,2.8,0.748,5,1.897,25
1553,壞事,3.4,0.49,5.2,1.166,64
1554,壞處,3.4,0.49,5,1.095,19
1555,壞話,3.4,0.49,5,1.414,14
1556,壞運,3,0,5.6,1.02,0
1557,寵愛,6.8,1.166,5.6,2.059,27
1558,懲罰,3.4,0.49,6.2,0.98,54
1559,懶惰,3.4,0.8,4,1.673,26
1560,懶散,3.6,0.8,3,1.789,12
1561,懷鄉,5,0.632,4.6,1.497,0
1562,爆發,4.2,0.748,7.6,0.8,220
1563,癡迷,3.8,0.98,6.8,1.72,0
1564,穩健,7,0.894,5.2,1.327,38
1565,贊同,7,0.894,5,1.265,84
1566,辭職,4,0.632,4.8,2.04,98
1567,難吃,3.4,0.8,5.8,1.72,10
1568,難堪,3,0.632,6.4,1.02,41
1569,難過,3,0.632,5.6,1.356,232
1570,難聞,3.6,0.49,5.6,1.02,6
1571,難熬,2.6,0.49,7.2,0.748,7
1572,難題,3.6,0.49,5.2,1.72,121
1573,願,6,0.632,5,1.673,682
1574,騙,3.4,0.49,6,0.894,132
1575,嚴重,3.2,0.98,7,0.632,992
1576,嚴峻,3,0.894,7.6,0.49,12
1577,嚴格,3.8,1.6,6.8,1.166,299
1578,嚴酷,2.8,1.166,7.6,1.2,14
1579,嚴厲,3.8,1.166,7.4,0.49,68
1580,寶貴,7,0.894,5,1.673,144
1581,競爭,5,1.095,6.6,1.356,631
1582,耀眼,6.6,1.02,6.4,1.02,64
1583,觸目驚心,2.6,0.8,8,0.632,8
1584,觸怒,2.8,0.748,7.4,0.49,5
1585,觸景傷情,2.8,0.4,6.2,0.98,0
1586,贏取,6.4,0.49,6,1.549,6
1587,贏錢,6.6,0.8,6.2,2.135,8
1588,騷動,4,0.632,6.6,1.02,45
1589,騷擾,3.4,0.49,6,0.632,94
1590,懼怕,2.6,0.8,7.2,0.748,29
1591,爛,2.8,0.748,5.6,1.356,93
1592,犧牲,3.6,0.8,6.6,0.49,257
1593,纏身,3.6,0.49,6.2,1.166,9
1594,纏訟,3.6,0.49,5.6,1.96,9
1595,纏綿,6.8,0.748,6.6,1.02,12
1596,蠢,3,0.632,5.2,1.72,8
1597,護,6,0.894,4.4,1.2,52
1598,躊躇,4.2,0.4,4.8,1.166,13
1599,顧慮,4.2,0.4,4.6,1.02,43
1600,歡天喜地,8.2,0.4,7.8,0.4,9
1601,歡心,7.2,0.748,6.6,0.49,13
1602,歡呼,7.2,0.748,7.2,0.748,39
1603,歡欣,7.2,0.748,7,0.632,22
1604,歡笑,7.4,1.02,6.8,0.4,33
1605,歡喜,7.4,0.8,6.8,0.4,107
1606,歡愉,6.6,1.497,6.8,0.98,24
1607,歡樂,7.2,0.748,6.8,0.98,141
1608,歡聲,7.2,0.748,6.2,0.98,4
1609,歡歡喜喜,8,0.632,6.8,1.327,9
1610,顫抖,3.2,0.748,6.8,1.166,32
1611,驕傲,4.8,1.6,6.4,1.02,114
1612,髒,3.2,0.748,4.6,1.356,75
1613,攪亂,3,0.894,6.6,1.02,8
1614,變味,3.4,0.49,5.2,1.327,0
1615,變動,4.8,0.4,6,0.894,190
1616,變質,3.4,0.49,5,1.265,31
1617,驚,4.8,0.4,7,1.095,51
1618,驚人,4.8,0.4,7.6,0.8,191
1619,驚心,4.6,0.49,7.6,1.02,5
1620,驚呆,4.4,0.49,7.8,0.98,0
1621,驚奇,6.2,0.748,7.4,0.8,58
1622,驚怕,3.6,0.49,7,0.632,0
1623,驚恐,2.8,0.98,7.8,0.748,14
1624,驚悚,2.8,0.748,7.8,0.4,0
1625,驚異,3.8,0.748,7.2,0.4,25
1626,驚訝,5,0,7.2,1.327,135
1627,驚喜,7.2,0.748,7.4,0.49,55
1628,驚愕,3.6,0.49,7.4,0.49,0
1629,驚慌,3.2,0.748,7.6,0.49,29
1630,驚嘆,5.4,1.356,7.6,0.8,25
1631,驚疑,4,0.632,7.2,0.748,0
1632,驚歎,5,1.095,7.6,1.02,10
1633,驚險,4,1.265,7.6,0.49,28
1634,驚駭,3.2,1.47,7.8,0.4,0
1635,驚嚇,3,0.894,7.8,0.4,27
1636,驚擾,3.4,0.49,6.8,0.4,7
1637,體面,6.4,0.49,5.4,0.8,19
1638,體貼,7,0.632,5.6,1.356,64
1639,體會,6.4,0.8,4.4,1.356,240
1640,體諒,6.6,0.49,4.8,1.47,60
1641,靈巧,7.2,0.748,4.8,1.327,19
1642,靈活,6.8,0.748,4.2,1.166,126
1643,靈敏,6.6,1.02,4.2,1.166,34
1644,靈感,6.2,1.166,4.2,1.166,76
1645,齷齪,2.2,0.98,8,0.632,0
1646,讚,7.6,0.8,5.6,0.8,5
1647,讚不絕口,8.2,0.4,8,0.632,12
1648,讚佩,7.8,0.4,7,0.632,0
1649,讚嘆,7.6,0.49,7.2,0.4,28
1650,讚歎,7.6,0.49,7.2,0.4,23
1651,讚賞,7.8,0.748,6.8,1.166,51
1652,鬱,3,0.894,4.8,1.327,0
1653,貪污,1.8,1.166,7.6,1.744,63
1654,進行,5.4,0.49,3.4,1.62,2963
1655,舉行,5.6,0.8,3.8,1.72,1178
1656,發展,6.2,0.75,4.2,0.75,2796
1657,參加,5.4,0.49,4.2,1.47,2147
1658,增加,5.8,0.4,4,1.41,1755
1659,合作,6.4,0.49,4.2,1.33,1231
1660,接受,5.6,0.49,3.6,0.8,1533
1661,成為,5.4,0.49,3.8,0.98,2774
1662,完成,6.4,1.02,5,0.63,1663
1663,獲得,6.2,0.75,4.2,1.17,1194
1664,通過,6.4,1.02,4.4,1.2,752
1665,特別,5.8,0.98,4.2,0.98,2156
1666,瞭解,5.6,0.49,3.6,1.02,575
1667,重要,6,1.1,5.6,0.8,2990
1668,建設,6.2,1.17,3.8,1.17,1065
1669,管理,5.4,0.49,3.2,0.98,1451
1670,改革,6.2,0.98,5.4,1.2,671
1671,開放,6.2,0.75,4.6,1.02,892
1672,成長,6.8,0.75,4.8,1.17,1711
1673,正式,5.4,0.49,4.2,0.75,828
1674,準備,5,0,3.8,1.17,635
1675,開發,5.8,0.75,4.6,0.49,1609
1676,說明,4.8,0.4,3.4,1.02,814
1677,聯合,5,0,4,1.41,212
1678,經營,5.8,0.4,4,0.63,1385
1679,機會,6.2,0.75,4.4,1.02,1850
1680,生產,5.8,0.75,4,0.89,932
1681,專家,6.2,0.4,4.2,1.33,900
1682,努力,6.8,0.75,5.8,1.47,1256
1683,注意,5.6,0.8,4.6,1.02,1157
1684,達成,6.4,0.49,5,1.79,536
1685,負責,6,1.1,4.2,1.33,1108
1686,資源,5.4,0.8,2.8,1.83,1327
1687,公開,5.4,0.49,3.8,1.47,509
1688,穩定,6,0.89,3.4,1.36,381
1689,提高,5.8,0.4,5,1.26,783
1690,能力,5.6,0.49,3.2,1.6,1639
1691,達到,5.8,0.75,5,1.41,979
1692,法律,4.6,0.49,3.6,1.85,589
1693,重視,5.6,0.8,5.6,0.49,873
1694,協調,5,1.1,4.2,1.47,387
1695,全面,5,0,3.6,1.02,285
1696,考慮,4.6,0.49,3.8,1.17,1225
1697,健康,6,0.63,4,1.26,739
1698,實際,5,0,3.2,1.17,1099
1699,全力,5.8,0.75,5.4,1.36,170
1700,擁有,5.6,0.8,4.2,1.47,1002
1701,必要,5,0.63,5.4,1.36,471
1702,經驗,5.6,0.8,3.2,0.98,1762
1703,促進,6.2,0.98,5.4,1.02,380
1704,藝術,5.6,0.8,2.8,1.33,1760
1705,獨立,5.6,0.8,3.4,1.02,644
1706,訓練,5.2,0.75,4.2,1.47,1257
1707,提升,6,0.63,4.8,1.17,442
1708,衛生,5.8,0.75,3.2,1.17,332
1709,明顯,5.6,0.49,3.8,0.75,671
1710,知道,5.4,0.49,3.2,1.47,4160
1711,符合,6,0.63,3.4,1.02,579
1712,堅持,6.2,1.17,5.2,1.17,459
1713,給予,5.8,0.98,4.2,1.17,489
1714,正常,5.8,0.4,3.4,1.02,541
1715,權益,5.2,0.4,3.8,1.83,314
1716,地位,5.4,0.49,3.8,1.17,592
1717,很多,5.6,0.8,4.2,0.98,2640
1718,音樂,5.2,0.4,3,1.41,1218
1719,良好,6.8,0.4,4.2,0.98,478
1720,承認,5,0,3.8,1.47,349
1721,高級,6.2,0.75,4.4,1.36,343
1722,學習,5.6,0.8,3.8,1.33,1693
1723,福利,6.6,0.8,4,1.67,286
1724,自然,5.2,0.4,3.4,1.2,1012
1725,通知,5,0,3.4,1.36,184
1726,明確,6.2,0.4,3.4,1.02,337
1727,真正,5.4,0.49,3.6,0.8,827
1728,確實,5.4,0.49,3.6,0.8,427
1729,公平,5.8,0.98,4,1.26,439
1730,充分,5.8,0.4,4.4,1.02,472
1731,得到,5.6,0.49,4,1.1,1334
1732,規範,5.4,0.49,3.4,1.02,293
1733,一致,5.2,0.4,3.6,1.02,335
1734,合理,5.8,0.4,3.6,1.02,493
1735,支援,5.6,0.49,4.2,0.98,432
1736,主動,5.8,0.75,5,1.41,451
1737,掌握,5.2,0.4,4.2,1.47,609
1738,紀念,5.6,0.49,3,1.1,151
1739,容易,5.6,0.49,3.2,1.47,1611
1740,領先,6.4,0.49,5,1.1,178
1741,安定,5.6,0.49,3.2,0.98,175
1742,財產,5.2,0.4,2.4,1.36,262
1743,合法,5.8,0.75,3.4,1.36,180
1744,實現,5.8,0.75,4,1.26,363
1745,獲利,6.6,0.49,4.6,1.2,101
1746,防止,4.8,0.75,5,0.63,211
1747,創造,6.2,0.75,4.4,1.02,660
1748,迅速,5.8,0.4,4.8,1.33,354
1749,進步,6.6,0.8,4.8,0.75,541
1750,秩序,5.6,0.49,3.4,1.02,269
1751,當然,5.2,0.4,4,1.1,1938
1752,正確,6.4,0.49,4.2,0.98,674
1753,推薦,6.2,0.4,4.4,1.02,217
1754,特色,5.6,0.49,3.2,0.98,765
1755,實在,5.4,0.49,3.4,0.8,981
1756,澄清,4.4,0.8,4,1.79,66
1757,繁榮,6.6,0.49,4,0.89,171
1758,時機,5.2,0.4,3.2,1.72,193
1759,解除,4.8,0.4,3.4,2.15,138
1760,批准,5.4,0.49,3.2,1.47,55
1761,認同,6.4,0.49,4.6,1.02,335
1762,完整,5.8,0.75,3.4,1.02,537
1763,夥伴,5.4,0.49,3.2,1.17,121
1764,贊成,6.2,0.4,4.6,1.2,241
1765,期待,6.2,0.4,5.6,1.02,289
1766,增進,5.8,0.4,4.4,1.36,197
1767,著名,6,0,3.6,1.02,410
1768,表揚,6,0.63,4.6,1.74,60
1769,遵守,5.2,0.4,3,1.1,134
1770,創新,6.2,0.75,4.6,1.36,165
1771,享有,5.4,0.49,3.6,1.36,178
1772,平衡,5.4,0.49,2.8,1.33,311
1773,詳細,5.4,0.49,3.2,1.17,272
1774,許可,5.4,0.49,3.2,1.47,86
1775,方便,6,0,3.8,0.75,621
1776,自動,5.4,0.49,2.8,1.33,353
1777,友好,6.2,0.4,4.4,1.62,34
1778,合格,6.4,0.49,4,2.1,130
1779,健全,6.2,0.4,3.8,1.33,182
1780,固定,5.2,0.4,2.8,1.33,363
1781,學會,6,0.63,3.4,1.5,245
1782,審慎,5.6,0.8,3.8,1.6,63
1783,實行,5.2,0.4,3.6,1.36,177
1784,信用,6,0.63,3.8,1.33,116
1785,傑出,7.4,1.02,5,1.67,219
1786,的確,5.2,0.4,3,1.41,569
1787,義務,5,0,3.2,1.6,150
1788,思考,5.4,0.49,3.4,1.5,723
1789,黃金,5.6,0.8,3.2,1.94,192
1790,促成,5.8,0.4,4.4,1.85,92
1791,習慣,5,0,3,1.41,540
1792,毫無,4.2,0.75,3.2,1.17,283
1793,專門,5.2,0.4,3.6,1.02,230
1794,顯著,5.4,0.49,4.4,0.49,157
1795,慰問,4.2,0.98,4.4,1.36,17
1796,清理,4.8,0.4,4.2,1.17,70
1797,請求,4.6,0.49,4.2,1.6,149
1798,重要性,5,0.63,5,1.41,193
1799,平等,5.8,0.75,3.4,1.62,295
1800,務實,6,0.63,3.6,1.36,76
1801,正義,6.4,0.49,4.8,1.17,141
1802,消除,4,0.89,4.4,1.5,134
1803,清除,4,0.89,4.4,1.36,60
1804,休息,5.2,0.4,2.8,1.17,344
1805,成熟,5.8,0.75,3.2,1.17,347
1806,理性,5.6,0.49,3.2,1.17,234
1807,強大,6.2,0.75,5.4,1.02,172
1808,減輕,5.2,0.75,3.8,1.6,145
1809,革命,5,0,6.2,0.75,422
1810,法定,5,0,3.6,1.85,49
1811,贊助,6,0.89,4.2,1.17,155
1812,明白,5,0.63,3.8,1.94,355
1813,可行,5.6,0.49,4,1.41,161
1814,公正,6.6,0.49,4.2,0.98,106
1815,福祉,6.2,0.75,3.4,1.02,58
1816,克服,5.2,1.17,5.4,1.2,189
1817,助益,6.2,0.75,4.4,1.36,123
1818,道德,5.6,0.49,3.4,1.02,410
1819,圓滿,6.4,0.49,4.4,1.62,110
1820,適應,5.2,1.17,4,1.41,344
1821,奪得,5.2,0.98,5.6,1.5,57
1822,生效,5.6,0.8,3.8,1.72,28
1823,期許,5.8,0.75,4.6,1.02,55
1824,便利,6,0.63,3.4,1.02,180
1825,熟悉,5.4,0.49,4,1.1,296
1826,正當,6.2,0.4,4,1.26,76
1827,履行,5.2,0.4,3.8,2.32,34
1828,凝聚,5.6,0.49,3.6,1.96,108
1829,革新,6.2,0.4,5.4,1.62,59
1830,友誼,6.4,0.49,4,1.67,63
1831,奮鬥,6.6,0.8,5.8,1.72,138
1832,自主,5.6,0.49,4.2,1.72,176
1833,巨大,5.2,0.4,4.8,2.23,188
1834,開拓,5.6,0.8,4.6,1.96,139
1835,過關,6,0.63,5,1.67,79
1836,營養,5.4,0.8,3,1.26,160
1837,適度,5.2,0.4,3,1.26,97
1838,罕見,5.2,0.4,4.2,2.04,59
1839,天然,5.6,0.49,3.6,1.62,108
1840,首位,5.8,0.75,3.4,1.62,29
1841,讓步,4.6,0.49,3.6,1.62,51
1842,深刻,5.4,0.49,4.6,1.2,361
1843,得獎,7,0.63,5.8,1.72,62
1844,致意,5.2,0.4,4.2,1.6,21
1845,名譽,6.2,1.17,4.2,1.47,59
1846,愛國,6.8,0.75,5.8,0.75,90
1847,中和,5.4,0.49,2.8,1.33,31
1848,嚴密,4.8,0.75,4.8,1.6,61
1849,突出,5.6,0.8,5,1.1,84
1850,理解,5.8,0.75,4.2,1.33,288
1851,前進,6,0.63,4.2,1.72,111
1852,聲望,6,0.63,3.8,1.47,43
1853,慎重,5.6,0.49,3.8,2.04,94
1854,熱心,6.4,0.49,5.2,1.47,165
1855,推進,5.2,0.4,4.8,1.72,25
1856,愉快,7,0.63,4.8,1.6,271
1857,技巧,5.2,0.4,3.2,1.72,437
1858,允諾,5.4,0.8,3.8,2.04,27
1859,感動,6.2,0.75,4.8,1.94,282
1860,良性,6.4,0.49,4,1.67,70
1861,清潔,5.2,0.4,3.6,1.85,140
1862,便宜,6,0,3,1.26,279
1863,想像,5.2,0.4,3.6,1.62,384
1864,蓬勃,6,1.1,5.2,1.47,100
1865,資助,5.4,0.49,3.8,0.98,39
1866,警覺,4.6,0.8,4.4,1.5,48
1867,發達,6,0.63,5,1.67,163
1868,無罪,5.4,0.49,4,1.9,17
1869,均衡,5.2,0.4,3,1.41,101
1870,分工,5.2,0.4,3.2,0.98,113
1871,精密,5.6,0.49,3.6,1.02,70
1872,卓越,6.6,0.49,4.6,1.36,68
1873,充份,5.6,0.49,4,1.67,147
1874,職責,5,0,3.2,1.17,56
1875,自願,5,0,3.8,1.33,97
1876,輔助,5.2,0.4,3.6,1.85,174
1877,倫理,5.2,0.4,3,1.41,159
1878,互惠,6.4,0.49,4,1.41,30
1879,平息,4.8,0.4,3.8,1.47,33
1880,及格,6,0,4,1.41,33
1881,創立,5.4,0.49,3.4,1.62,71
1882,節約,5.4,0.49,3.4,1.36,64
1883,財富,5.6,0.8,3.4,1.85,171
1884,建設性,5.8,0.4,3.4,1.2,32
1885,互利,5.8,0.4,3.8,1.33,10
1886,切實,5.2,0.4,3.6,1.62,34
1887,招待,5.4,0.49,4.2,1.6,83
1888,效能,5.4,0.49,3.8,1.72,86
1889,諒解,4.8,0.75,4,1.9,51
1890,開採,5.2,0.4,3.8,2.04,45
1891,生育,5.2,0.4,4.4,2.15,53
1892,美化,6,0.63,4.2,1.83,68
1893,夢想,6.2,0.75,4.6,1.74,138
1894,優質,7.2,0.75,4.4,1.2,8
1895,獨特,6.4,0.8,4.2,1.47,213
1896,留意,4.8,0.4,3.6,2.06,85
1897,無疑,5,0,3.2,1.17,88
1898,理會,5,0,3.4,1.02,68
1899,約定,5.2,0.4,4,0.89,68
1900,締造,5.4,0.49,4.6,1.2,42
1901,賺錢,5.6,0.49,4.6,1.74,234
1902,充裕,6.2,0.4,4,1.26,76
1903,通用,5.2,0.4,3.4,1.36,34
1904,合乎,5.2,0.4,3.2,1.47,115
1905,毫不,4.4,0.49,3.8,1.83,174
1906,簡易,5.6,0.49,3.2,1.47,84
1907,絕無,4.6,0.49,3.8,1.47,31
1908,精緻,6,0.63,3.4,1.02,169
1909,光明,6.6,0.8,3.8,0.98,74
1910,好事,6.6,0.8,3.8,1.47,53
1911,注目,5.2,0.4,3.8,1.33,63
1912,免除,5,0,4,1.1,39
1913,穩固,5.8,0.4,3.8,0.75,50
1914,保密,5.2,0.4,3.6,1.2,43
1915,樂見,6,0,4.6,1.62,18
1916,道理,5.2,0.4,3.2,1.17,403
1917,改良,5.6,0.49,4.2,1.83,132
1918,新鮮,6,0.63,3.8,1.6,188
1919,透明,5,0,3,1.41,80
1920,古典,5.2,0.4,2.8,1.17,217
1921,趣味,5.8,0.4,4.2,1.17,116
1922,集資,5.2,0.4,4,1.9,12
1923,專屬,5.6,0.8,3.6,1.74,63
1924,敬佩,6.2,0.75,4.6,1.85,39
1925,友善,6.6,1.02,4,1.41,40
1926,人性,5,0,2.8,1.33,342
1927,合適,5.6,0.49,3.2,1.17,126
1928,天使,6.6,0.49,3.8,1.6,56
1929,一流,6.8,0.4,4.6,1.36,104
1930,助長,5.4,0.49,4.6,1.74,39
1931,嚴謹,5.2,0.75,4.2,1.47,67
1932,吸引力,5.4,0.49,3.6,2.06,74
1933,優於,5.4,0.8,4.4,1.36,34
1934,互助,5.8,0.4,3.6,1.36,39
1935,深切,5,0,4,1.26,45
1936,好奇,5,0,4.2,1.47,241
1937,衛冕,6,0.63,5,1.41,21
1938,守法,5.8,0.4,3.6,1.5,59
1939,充足,5.6,0.49,4,1.41,75
1940,嶄新,6.4,0.49,5,1.55,60
1941,不遺餘力,6.2,0.75,5.6,1.5,36
1942,特大,5.4,0.49,5.2,1.47,6
1943,才藝,5.8,0.75,3.4,1.02,43
1944,誠摯,6.4,0.49,4.2,0.98,23
1945,準確,5.8,0.4,3.6,1.36,79
1946,妥當,5.4,0.49,3.4,1.5,49
1947,加薪,6.2,0.75,4.6,1.62,12
1948,發覺,5,0,3,1.67,262
1949,熱忱,6,0.63,4.8,1.94,27
1950,補足,5.2,0.4,3.4,1.02,40
1951,節制,5,0.63,3.6,1.5,40
1952,暢談,5.8,0.4,5.4,1.02,22
1953,鼓掌,6.2,0.75,5.4,1.02,87
1954,在意,5,0,3.8,2.04,94
1955,精確,5.8,0.4,3.8,0.98,89
1956,矯正,4.8,0.75,4,1.41,51
1957,聲譽,5.4,0.49,4.2,1.47,20
1958,無比,5.4,0.49,3.2,0.98,145
1959,無異議,5.2,0.4,3,1.41,0
1960,去除,4.8,0.4,3.4,1.62,49
1961,實用,5.6,0.49,3.8,1.47,138
1962,誠懇,6.6,0.49,4,1.41,99
1963,協力,5.8,0.4,3.6,1.62,22
1964,發育,5.6,0.49,3.6,1.62,72
1965,捐獻,6.4,0.49,4.6,1.5,23
1966,熱誠,6.6,0.49,5.2,1.83,17
1967,良心,6,0,3.4,1.36,89
1968,由衷,5,0,3.8,1.83,27
1969,清晰,5.4,0.49,3.6,1.02,102
1970,奪冠,7,0,5.8,0.98,4
1971,合法性,5.2,0.4,3.8,1.94,21
1972,適任,5.6,0.49,3.4,1.02,9
1973,樂於,6.4,0.49,4.6,1.36,53
1974,邏輯,5.2,0.4,2.8,1.33,144
1975,有名,6,0.63,4.2,1.47,238
1976,可取,5.8,0.75,3.6,1.5,12
1977,調停,4.8,0.4,3.4,1.36,0
1978,讚許,6.6,0.49,5.4,1.02,17
1979,非凡,6.2,0.75,4,1.26,56
1980,奇異,5.2,0.75,4.4,1.85,63
1981,感人,6.2,0.4,5.4,1.2,54
1982,在乎,5.6,0.49,4.4,1.36,138
1983,遠見,6.2,0.75,3.8,1.17,36
1984,持久,5.6,0.8,4,1.79,34
1985,正規,5.8,0.4,3.2,1.17,45
1986,親近,6.2,0.4,3.8,0.75,74
1987,醫治,4.8,0.98,3.8,1.47,33
1988,人情,5.2,0.4,3.4,1.62,90
1989,穩定性,5.4,0.49,3,1.41,49
1990,難忘,5.2,0.75,4.2,1.17,78
1991,端正,5.6,0.49,3.6,1.02,22
1992,修理,4.8,0.4,3.8,1.17,57
1993,教養,5.6,0.49,3.6,1.02,35
1994,洋溢,6.2,0.75,4.6,1.36,44
1995,啟發,6,0.63,4.2,1.72,94
1996,討好,4.6,0.49,4.4,1.85,79
1997,廣闊,6,0.89,3.2,1.47,50
1998,禮貌,6,0.63,3.4,1.5,49
1999,負有,4.8,0.4,3,1.26,16
